INFO    2019-02-12 10:19:18,580 [AWT-EventQueue-0] client.gui.AdminFrame  51 - A pornit aplicatia!
INFO    2019-02-12 10:19:32,967 [AWT-EventQueue-0] client.gui.ClientFrame  113 - Theodorescu Mihael a pornit aplicatia! 192.168.153.118
INFO    2019-02-12 10:19:32,967 [AWT-EventQueue-0] client.gui.ClientFrame  117 - Theodorescu Mihael a dat subscribe!
INFO    2019-02-12 10:19:32,999 [AWT-EventQueue-0] client.gui.ClientFrame  123 - Theodorescu Mihael si-a luat ultima activitate!
INFO    2019-02-12 10:21:11,639 [AWT-EventQueue-0] client.gui.ClientFrame  1071 - S-a oprit aplicatia!
INFO    2019-02-12 10:21:59,999 [AWT-EventQueue-0] client.gui.AdminFrame  51 - A pornit aplicatia!
INFO    2019-02-12 10:22:10,103 [AWT-EventQueue-0] client.gui.ClientFrame  115 - Theodorescu Mihael a pornit aplicatia! 192.168.153.118
INFO    2019-02-12 10:22:10,110 [AWT-EventQueue-0] client.gui.ClientFrame  119 - Theodorescu Mihael a dat subscribe!
INFO    2019-02-12 10:22:10,139 [AWT-EventQueue-0] client.gui.ClientFrame  125 - Theodorescu Mihael si-a luat ultima activitate!
INFO    2019-02-12 10:22:11,287 [AWT-EventQueue-0] client.gui.ClientFrame  1073 - S-a oprit aplicatia!
INFO    2019-02-12 10:23:31,860 [AWT-EventQueue-0] client.gui.AdminFrame  51 - A pornit aplicatia!
INFO    2019-02-12 10:23:44,862 [AWT-EventQueue-0] client.gui.ClientFrame  115 - Theodorescu Mihael a pornit aplicatia! 192.168.153.118
INFO    2019-02-12 10:23:44,863 [AWT-EventQueue-0] client.gui.ClientFrame  119 - Theodorescu Mihael a dat subscribe!
INFO    2019-02-12 10:23:44,895 [AWT-EventQueue-0] client.gui.ClientFrame  125 - Theodorescu Mihael si-a luat ultima activitate!
INFO    2019-02-12 10:24:06,986 [AWT-EventQueue-0] client.gui.ClientFrame  1088 - Theodorescu Mihael a oprit aplicatia!
INFO    2019-02-12 10:24:08,154 [AWT-EventQueue-0] client.gui.AdminFrame  429 - S-a oprit aplicatia!
